week,district_id,school_id,grade,subject,student_count,proficiency_rate,growth_rate,chronic_absence_rate,assignment_completion_rate
2026-W10,DST001,SCH001,5,Math,74,0.52,0.495,0.24,0.621
2026-W10,DST001,SCH001,5,Science,68,0.741,0.746,0.177,0.611
2026-W11,DST001,SCH001,3,ELA,65,0.638,0.55,0.272,0.67
2026-W11,DST001,SCH001,3,Math,85,0.683,0.534,0.153,0.614
2026-W11,DST001,SCH001,3,Science,78,0.688,0.738,0.229,0.605
2026-W11,DST001,SCH001,4,ELA,98,0.676,0.436,0.18,0.654
2026-W11,DST001,SCH001,4,Math,78,0.542,0.637,0.242,0.604
2026-W11,DST001,SCH001,4,Science,63,0.579,0.586,0.16,0.68
2026-W11,DST001,SCH001,5,ELA,80,0.625,0.495,0.249,0.677
2026-W11,DST001,SCH001,5,Math,63,0.547,0.696,0.169,0.649
2026-W11,DST001,SCH001,5,Science,82,0.576,0.465,0.266,0.774
2026-W12,DST001,SCH001,3,ELA,97,0.591,0.698,0.216,0.726
2026-W12,DST001,SCH001,3,Math,46,0.72,0.636,0.158,0.616
2026-W12,DST001,SCH001,3,Science,77,0.638,0.628,0.211,0.615
2026-W12,DST001,SCH001,4,ELA,55,0.621,0.603,0.183,0.668
2026-W12,DST001,SCH001,4,Math,116,0.609,0.662,0.23,0.525
2026-W12,DST001,SCH001,4,Science,54,0.623,0.543,0.197,0.728
2026-W12,DST001,SCH001,5,ELA,66,0.778,0.741,0.223,0.652
2026-W12,DST001,SCH001,5,Math,66,0.702,0.537,0.164,0.683
2026-W12,DST001,SCH001,5,Science,47,0.793,0.533,0.196,0.596
2026-W13,DST001,SCH001,3,ELA,64,0.681,0.698,0.259,0.645
2026-W13,DST001,SCH001,3,Math,53,0.604,0.819,0.222,0.513
2026-W13,DST001,SCH001,3,Science,90,0.621,0.62,0.148,0.657
2026-W13,DST001,SCH001,4,ELA,75,0.547,0.621,0.246,0.479
2026-W13,DST001,SCH001,4,Math,98,0.582,0.582,0.188,0.63
2026-W13,DST001,SCH001,4,Science,45,0.637,0.481,0.229,0.609
2026-W13,DST001,SCH001,5,ELA,66,0.659,0.681,0.266,0.771
2026-W13,DST001,SCH001,5,Math,64,0.67,0.696,0.259,0.668
2026-W13,DST001,SCH001,5,Science,85,0.775,0.599,0.242,0.555
2026-W14,DST001,SCH001,3,ELA,41,0.554,0.589,0.286,0.772
2026-W14,DST001,SCH001,3,Math,86,0.656,0.571,0.199,0.613
2026-W14,DST001,SCH001,3,Science,63,0.697,0.805,0.256,0.68
2026-W14,DST001,SCH001,4,ELA,83,0.635,0.653,0.195,0.644
2026-W14,DST001,SCH001,4,Math,69,0.64,0.544,0.281,0.54
2026-W14,DST001,SCH001,4,Science,87,0.712,0.609,0.248,0.777
2026-W14,DST001,SCH001,5,ELA,83,0.634,0.603,0.27,0.661
2026-W14,DST001,SCH001,5,Math,59,0.633,0.445,0.278,0.508
2026-W14,DST001,SCH001,5,Science,72,0.68,0.677,0.241,0.569
2026-W15,DST001,SCH001,3,ELA,88,0.725,0.702,0.246,0.697
2026-W15,DST001,SCH001,3,Math,64,0.663,0.648,0.286,0.711
2026-W15,DST001,SCH001,3,Science,61,0.63,0.473,0.166,0.63
2026-W15,DST001,SCH001,4,ELA,59,0.649,0.555,0.229,0.716
2026-W15,DST001,SCH001,4,Math,69,0.682,0.616,0.287,0.576
2026-W15,DST001,SCH001,4,Science,52,0.662,0.736,0.25,0.602
2026-W15,DST001,SCH001,5,ELA,54,0.669,0.622,0.278,0.697
2026-W15,DST001,SCH001,5,Math,62,0.611,0.611,0.219,0.639
2026-W15,DST001,SCH001,5,Science,49,0.686,0.489,0.186,0.786
2026-W16,DST001,SCH001,3,ELA,40,0.765,0.745,0.149,0.788
2026-W16,DST001,SCH001,3,Math,58,0.556,0.417,0.187,0.667
2026-W16,DST001,SCH001,3,Science,87,0.689,0.584,0.266,0.547
2026-W16,DST001,SCH001,4,ELA,63,0.712,0.566,0.196,0.559
2026-W16,DST001,SCH001,4,Math,63,0.704,0.497,0.251,0.52
2026-W16,DST001,SCH001,4,Science,49,0.651,0.702,0.235,0.67
2026-W16,DST001,SCH001,5,ELA,89,0.705,0.592,0.273,0.642
2026-W16,DST001,SCH001,5,Math,73,0.667,0.727,0.253,0.584
2026-W16,DST001,SCH001,5,Science,101,0.748,0.625,0.169,0.628
2026-W04,DST001,SCH002,3,ELA,45,0.671,0.644,0.189,0.652
2026-W04,DST001,SCH002,3,Math,61,0.658,0.617,0.193,0.637
2026-W04,DST001,SCH002,3,Science,48,0.672,0.563,0.184,0.733
2026-W04,DST001,SCH002,4,ELA,55,0.652,0.482,0.159,0.72
2026-W04,DST001,SCH002,4,Math,30,0.598,0.46,0.219,0.538
2026-W04,DST001,SCH002,4,Science,88,0.608,0.533,0.203,0.694
2026-W04,DST001,SCH002,5,ELA,43,0.576,0.479,0.237,0.756
2026-W04,DST001,SCH002,5,Math,36,0.608,0.511,0.224,0.656
2026-W04,DST001,SCH002,5,Science,62,0.634,0.48,0.237,0.699
2026-W05,DST001,SCH002,3,ELA,41,0.682,0.492,0.218,0.81
2026-W05,DST001,SCH002,3,Math,49,0.577,0.387,0.187,0.663
2026-W05,DST001,SCH002,3,Science,67,0.698,0.504,0.174,0.72
2026-W05,DST001,SCH002,4,ELA,34,0.829,0.56,0.193,0.712
2026-W05,DST001,SCH002,4,Math,53,0.645,0.695,0.226,0.686
2026-W05,DST001,SCH002,4,Science,48,0.643,0.509,0.203,0.653
2026-W05,DST001,SCH002,5,ELA,51,0.627,0.564,0.181,0.808
2026-W05,DST001,SCH002,5,Math,22,0.532,0.546,0.237,0.649
2026-W05,DST001,SCH002,5,Science,54,0.707,0.571,0.252,0.683
2026-W06,DST001,SCH002,3,ELA,65,0.692,0.553,0.287,0.561
2026-W06,DST001,SCH002,3,Math,55,0.584,0.42,0.295,0.512
2026-W06,DST001,SCH002,3,Science,53,0.559,0.501,0.253,0.526
2026-W06,DST001,SCH002,4,ELA,41,0.653,0.646,0.285,0.627
2026-W06,DST001,SCH002,4,Math,34,0.506,0.455,0.252,0.562
2026-W06,DST001,SCH002,4,Science,70,0.585,0.463,0.201,0.672
2026-W06,DST001,SCH002,5,ELA,38,0.706,0.614,0.194,0.646
2026-W06,DST001,SCH002,5,Math,50,0.596,0.532,0.229,0.599
2026-W06,DST001,SCH002,5,Science,49,0.636,0.541,0.187,0.564
2026-W07,DST001,SCH002,3,ELA,66,0.618,0.601,0.191,0.627
2026-W07,DST001,SCH002,3,Math,68,0.566,0.454,0.216,0.575
2026-W07,DST001,SCH002,3,Science,51,0.639,0.577,0.3,0.593
2026-W07,DST001,SCH002,4,ELA,48,0.639,0.596,0.261,0.688
2026-W07,DST001,SCH002,4,Math,75,0.653,0.644,0.284,0.614
2026-W07,DST001,SCH002,4,Science,59,0.642,0.498,0.281,0.62
2026-W07,DST001,SCH002,5,ELA,44,0.608,0.59,0.205,0.592
2026-W07,DST001,SCH002,5,Math,81,0.602,0.525,0.198,0.674
2026-W07,DST001,SCH002,5,Science,60,0.602,0.449,0.264,0.61
2026-W08,DST001,SCH002,3,ELA,66,0.664,0.58,0.238,0.819
2026-W08,DST001,SCH002,3,Math,26,0.605,0.685,0.244,0.645
2026-W08,DST001,SCH002,3,Science,54,0.735,0.495,0.175,0.537
2026-W08,DST001,SCH002,4,ELA,52,0.639,0.629,0.226,0.602
2026-W08,DST001,SCH002,4,Math,40,0.612,0.616,0.269,0.646
2026-W08,DST001,SCH002,4,Science,31,0.612,0.653,0.16,0.711
2026-W08,DST001,SCH002,5,ELA,43,0.526,0.591,0.262,0.603
2026-W08,DST001,SCH002,5,Math,91,0.586,0.567,0.24,0.51
2026-W08,DST001,SCH002,5,Science,72,0.633,0.517,0.207,0.65
2026-W09,DST001,SCH002,3,ELA,40,0.768,0.664,0.237,0.548
2026-W09,DST001,SCH002,3,Math,68,0.484,0.509,0.228,0.56
2026-W09,DST001,SCH002,3,Science,42,0.69,0.417,0.136,0.599
2026-W09,DST001,SCH002,4,ELA,30,0.618,0.496,0.158,0.69
2026-W09,DST001,SCH002,4,Math,66,0.708,0.691,0.184,0.568
2026-W09,DST001,SCH002,4,Science,37,0.67,0.596,0.238,0.707
2026-W09,DST001,SCH002,5,ELA,60,0.679,0.692,0.179,0.573
2026-W09,DST001,SCH002,5,Math,78,0.741,0.626,0.22,0.665
2026-W09,DST001,SCH002,5,Science,54,0.629,0.76,0.226,0.733
2026-W10,DST001,SCH002,3,ELA,55,0.639,0.449,0.23,0.617
2026-W10,DST001,SCH002,3,Math,79,0.723,0.826,0.208,0.646
2026-W10,DST001,SCH002,3,Science,56,0.697,0.586,0.238,0.686
2026-W10,DST001,SCH002,4,ELA,38,0.638,0.602,0.197,0.709
2026-W10,DST001,SCH002,4,Math,45,0.655,0.559,0.279,0.583
2026-W10,DST001,SCH002,4,Science,43,0.572,0.58,0.155,0.501
2026-W10,DST001,SCH002,5,ELA,63,0.589,0.484,0.211,0.668
2026-W10,DST001,SCH002,5,Math,39,0.598,0.417,0.316,0.481
2026-W10,DST001,SCH002,5,Science,81,0.708,0.616,0.227,0.598
2026-W11,DST001,SCH002,3,ELA,52,0.653,0.527,0.27,0.597
2026-W11,DST001,SCH002,3,Math,67,0.601,0.528,0.3,0.613
2026-W11,DST001,SCH002,3,Science,41,0.596,0.58,0.157,0.646
2026-W11,DST001,SCH002,4,ELA,67,0.646,0.667,0.118,0.797
2026-W11,DST001,SCH002,4,Math,44,0.608,0.634,0.209,0.654
2026-W11,DST001,SCH002,4,Science,55,0.654,0.53,0.222,0.611
2026-W11,DST001,SCH002,5,ELA,47,0.72,0.626,0.282,0.625
2026-W11,DST001,SCH002,5,Math,57,0.656,0.689,0.156,0.771
2026-W11,DST001,SCH002,5,Science,68,0.635,0.577,0.191,0.658
2026-W12,DST001,SCH002,3,ELA,42,0.71,0.694,0.274,0.576
2026-W12,DST001,SCH002,3,Math,74,0.66,0.529,0.181,0.665
2026-W12,DST001,SCH002,3,Science,46,0.787,0.795,0.312,0.595
2026-W12,DST001,SCH002,4,ELA,67,0.626,0.587,0.222,0.649
2026-W12,DST001,SCH002,4,Math,53,0.59,0.501,0.257,0.636
2026-W12,DST001,SCH002,4,Science,25,0.629,0.742,0.242,0.599
2026-W12,DST001,SCH002,5,ELA,45,0.634,0.61,0.249,0.6
2026-W12,DST001,SCH002,5,Math,52,0.645,0.612,0.265,0.595
2026-W12,DST001,SCH002,5,Science,61,0.659,0.537,0.244,0.698
2026-W13,DST001,SCH002,3,ELA,77,0.746,0.677,0.254,0.576
2026-W13,DST001,SCH002,3,Math,74,0.723,0.619,0.199,0.592
2026-W13,DST001,SCH002,3,Science,55,0.641,0.482,0.293,0.545
2026-W13,DST001,SCH002,4,ELA,47,0.653,0.623,0.197,0.72
2026-W13,DST001,SCH002,4,Math,58,0.616,0.625,0.192,0.587
2026-W13,DST001,SCH002,4,Science,41,0.76,0.693,0.179,0.661
2026-W13,DST001,SCH002,5,ELA,57,0.719,0.743,0.23,0.574
2026-W13,DST001,SCH002,5,Math,66,0.659,0.762,0.191,0.54
2026-W13,DST001,SCH002,5,Science,50,0.636,0.782,0.246,0.684
2026-W14,DST001,SCH002,3,ELA,68,0.632,0.764,0.209,0.676
2026-W14,DST001,SCH002,3,Math,71,0.657,0.707,0.199,0.667
2026-W14,DST001,SCH002,3,Science,55,0.65,0.646,0.24,0.653
2026-W14,DST001,SCH002,4,ELA,36,0.739,0.453,0.242,0.691
2026-W14,DST001,SCH002,4,Math,95,0.561,0.604,0.111,0.642
2026-W14,DST001,SCH002,4,Science,39,0.713,0.677,0.201,0.7
2026-W14,DST001,SCH002,5,ELA,27,0.755,0.526,0.26,0.67
2026-W14,DST001,SCH002,5,Math,40,0.672,0.638,0.242,0.599
2026-W14,DST001,SCH002,5,Science,37,0.537,0.433,0.231,0.674
2026-W15,DST001,SCH002,3,ELA,71,0.663,0.723,0.106,0.806
2026-W15,DST001,SCH002,3,Math,58,0.615,0.641,0.262,0.542
2026-W15,DST001,SCH002,3,Science,22,0.628,0.733,0.207,0.659
2026-W15,DST001,SCH002,4,ELA,60,0.636,0.674,0.227,0.709
2026-W15,DST001,SCH002,4,Math,28,0.577,0.531,0.22,0.657
2026-W15,DST001,SCH002,4,Science,45,0.709,0.633,0.153,0.701
2026-W15,DST001,SCH002,5,ELA,61,0.671,0.596,0.167,0.742
2026-W15,DST001,SCH002,5,Math,71,0.671,0.612,0.295,0.528
2026-W15,DST001,SCH002,5,Science,48,0.725,0.528,0.253,0.655
2026-W16,DST001,SCH002,3,ELA,71,0.775,0.576,0.191,0.756
2026-W16,DST001,SCH002,3,Math,34,0.616,0.676,0.234,0.559
2026-W16,DST001,SCH002,3,Science,48,0.684,0.64,0.158,0.654
2026-W16,DST001,SCH002,4,ELA,61,0.748,0.514,0.231,0.639
2026-W16,DST001,SCH002,4,Math,51,0.636,0.595,0.178,0.659
2026-W16,DST001,SCH002,4,Science,75,0.635,0.59,0.234,0.59
2026-W16,DST001,SCH002,5,ELA,22,0.684,0.708,0.202,0.704
2026-W16,DST001,SCH002,5,Math,56,0.698,0.646,0.217,0.702
2026-W16,DST001,SCH002,5,Science,63,0.677,0.511,0.284,0.617
2026-W04,DST001,SCH003,3,ELA,104,0.723,0.444,0.279,0.562
2026-W04,DST001,SCH003,3,Math,77,0.612,0.567,0.181,0.75
2026-W04,DST001,SCH003,3,Science,70,0.59,0.573,0.192,0.712
2026-W04,DST001,SCH003,4,ELA,47,0.662,0.586,0.196,0.81
2026-W04,DST001,SCH003,4,Math,89,0.63,0.552,0.327,0.502
2026-W04,DST001,SCH003,4,Science,85,0.682,0.548,0.167,0.735
2026-W04,DST001,SCH003,5,ELA,71,0.618,0.575,0.166,0.665
2026-W04,DST001,SCH003,5,Math,69,0.562,0.578,0.178,0.681
2026-W04,DST001,SCH003,5,Science,55,0.656,0.487,0.15,0.65
2026-W05,DST001,SCH003,3,ELA,89,0.62,0.37,0.174,0.723
2026-W05,DST001,SCH003,3,Math,90,0.65,0.633,0.169,0.763
2026-W05,DST001,SCH003,3,Science,88,0.614,0.571,0.24,0.627
2026-W05,DST001,SCH003,4,ELA,80,0.611,0.502,0.212,0.716
2026-W05,DST001,SCH003,4,Math,68,0.629,0.516,0.254,0.571
2026-W05,DST001,SCH003,4,Science,97,0.569,0.722,0.132,0.723
2026-W05,DST001,SCH003,5,ELA,58,0.666,0.648,0.197,0.713
2026-W05,DST001,SCH003,5,Math,74,0.567,0.561,0.252,0.586
2026-W05,DST001,SCH003,5,Science,61,0.677,0.529,0.182,0.671
2026-W06,DST001,SCH003,3,ELA,58,0.615,0.614,0.248,0.649
2026-W06,DST001,SCH003,3,Math,73,0.666,0.615,0.222,0.623
2026-W06,DST001,SCH003,3,Science,59,0.711,0.538,0.204,0.772
2026-W06,DST001,SCH003,4,ELA,68,0.63,0.721,0.279,0.56
2026-W06,DST001,SCH003,4,Math,62,0.651,0.535,0.217,0.608
2026-W06,DST001,SCH003,4,Science,76,0.568,0.575,0.253,0.635
2026-W06,DST001,SCH003,5,ELA,68,0.717,0.353,0.22,0.754
2026-W06,DST001,SCH003,5,Math,100,0.564,0.501,0.18,0.58
2026-W06,DST001,SCH003,5,Science,62,0.622,0.569,0.228,0.648
2026-W07,DST001,SCH003,3,ELA,80,0.681,0.61,0.16,0.752
2026-W07,DST001,SCH003,3,Math,70,0.53,0.523,0.227,0.604
2026-W07,DST001,SCH003,3,Science,44,0.552,0.574,0.262,0.536
2026-W07,DST001,SCH003,4,ELA,62,0.687,0.551,0.221,0.84
2026-W07,DST001,SCH003,4,Math,40,0.693,0.565,0.256,0.684
2026-W07,DST001,SCH003,4,Science,87,0.641,0.613,0.205,0.673
2026-W07,DST001,SCH003,5,ELA,60,0.586,0.628,0.26,0.616
2026-W07,DST001,SCH003,5,Math,57,0.68,0.721,0.252,0.638
2026-W07,DST001,SCH003,5,Science,76,0.643,0.598,0.276,0.552
2026-W08,DST001,SCH003,3,ELA,75,0.831,0.716,0.212,0.767
2026-W08,DST001,SCH003,3,Math,87,0.649,0.524,0.223,0.469
2026-W08,DST001,SCH003,3,Science,90,0.587,0.602,0.21,0.574
2026-W08,DST001,SCH003,4,ELA,95,0.766,0.71,0.21,0.624
2026-W08,DST001,SCH003,4,Math,60,0.647,0.684,0.111,0.668
2026-W08,DST001,SCH003,4,Science,68,0.642,0.645,0.255,0.633
2026-W08,DST001,SCH003,5,ELA,72,0.726,0.528,0.224,0.735
2026-W08,DST001,SCH003,5,Math,71,0.632,0.549,0.227,0.638
2026-W08,DST001,SCH003,5,Science,59,0.649,0.571,0.242,0.692
2026-W09,DST001,SCH003,3,ELA,71,0.635,0.537,0.209,0.595
2026-W09,DST001,SCH003,3,Math,76,0.579,0.609,0.233,0.689
2026-W09,DST001,SCH003,3,Science,82,0.604,0.663,0.163,0.688
2026-W09,DST001,SCH003,4,ELA,82,0.661,0.684,0.173,0.636
2026-W09,DST001,SCH003,4,Math,59,0.664,0.524,0.196,0.657
2026-W09,DST001,SCH003,4,Science,58,0.624,0.608,0.189,0.662
2026-W09,DST001,SCH003,5,ELA,84,0.627,0.772,0.198,0.607
2026-W09,DST001,SCH003,5,Math,75,0.578,0.455,0.245,0.628
2026-W09,DST001,SCH003,5,Science,69,0.653,0.56,0.191,0.718
2026-W10,DST001,SCH003,3,ELA,64,0.757,0.475,0.197,0.583
2026-W10,DST001,SCH003,3,Math,77,0.497,0.556,0.186,0.504
2026-W10,DST001,SCH003,3,Science,74,0.696,0.666,0.173,0.682
2026-W10,DST001,SCH003,4,ELA,51,0.563,0.511,0.155,0.73
2026-W10,DST001,SCH003,4,Math,64,0.528,0.648,0.155,0.518
2026-W10,DST001,SCH003,4,Science,73,0.613,0.748,0.211,0.613
2026-W10,DST001,SCH003,5,ELA,57,0.679,0.636,0.193,0.703
2026-W10,DST001,SCH003,5,Math,56,0.606,0.548,0.35,0.684
2026-W10,DST001,SCH003,5,Science,91,0.764,0.695,0.141,0.656
2026-W11,DST001,SCH003,3,ELA,95,0.604,0.534,0.174,0.527
2026-W11,DST001,SCH003,3,Math,87,0.567,0.514,0.206,0.672
2026-W11,DST001,SCH003,3,Science,70,0.624,0.597,0.23,0.657
2026-W11,DST001,SCH003,4,ELA,59,0.625,0.47,0.293,0.647
2026-W11,DST001,SCH003,4,Math,53,0.574,0.747,0.207,0.77
2026-W11,DST001,SCH003,4,Science,67,0.703,0.52,0.166,0.512
2026-W11,DST001,SCH003,5,ELA,67,0.649,0.821,0.186,0.664
2026-W11,DST001,SCH003,5,Math,36,0.688,0.502,0.198,0.662
2026-W11,DST001,SCH003,5,Science,56,0.649,0.651,0.198,0.777
2026-W12,DST001,SCH003,3,ELA,36,0.608,0.519,0.226,0.706
2026-W12,DST001,SCH003,3,Math,72,0.738,0.688,0.295,0.502
2026-W12,DST001,SCH003,3,Science,82,0.674,0.659,0.157,0.682
2026-W12,DST001,SCH003,4,ELA,70,0.573,0.483,0.247,0.64
2026-W12,DST001,SCH003,4,Math,78,0.611,0.44,0.16,0.548
2026-W12,DST001,SCH003,4,Science,81,0.648,0.61,0.251,0.597
2026-W12,DST001,SCH003,5,ELA,81,0.676,0.563,0.165,0.796
2026-W12,DST001,SCH003,5,Math,37,0.558,0.603,0.22,0.615
2026-W12,DST001,SCH003,5,Science,98,0.657,0.415,0.227,0.621
2026-W13,DST001,SCH003,3,ELA,54,0.709,0.548,0.278,0.568
2026-W13,DST001,SCH003,3,Math,70,0.565,0.535,0.177,0.593
2026-W13,DST001,SCH003,3,Science,86,0.665,0.648,0.241,0.591
2026-W13,DST001,SCH003,4,ELA,58,0.647,0.647,0.258,0.703
2026-W13,DST001,SCH003,4,Math,56,0.596,0.622,0.151,0.529
2026-W13,DST001,SCH003,4,Science,68,0.677,0.644,0.151,0.617
2026-W13,DST001,SCH003,5,ELA,69,0.714,0.726,0.183,0.643
2026-W13,DST001,SCH003,5,Math,71,0.591,0.582,0.251,0.633
2026-W13,DST001,SCH003,5,Science,66,0.667,0.718,0.221,0.566
2026-W14,DST001,SCH003,3,ELA,77,0.689,0.665,0.219,0.74
2026-W14,DST001,SCH003,3,Math,47,0.589,0.633,0.242,0.548
2026-W14,DST001,SCH003,3,Science,89,0.772,0.64,0.221,0.714
2026-W14,DST001,SCH003,4,ELA,74,0.695,0.438,0.209,0.731
2026-W14,DST001,SCH003,4,Math,68,0.548,0.52,0.278,0.522
2026-W14,DST001,SCH003,4,Science,99,0.652,0.606,0.243,0.652
2026-W14,DST001,SCH003,5,ELA,53,0.622,0.496,0.245,0.711
2026-W14,DST001,SCH003,5,Math,77,0.61,0.606,0.205,0.6
2026-W14,DST001,SCH003,5,Science,74,0.666,0.642,0.265,0.737
2026-W15,DST001,SCH003,3,ELA,80,0.759,0.5,0.222,0.666
2026-W15,DST001,SCH003,3,Math,81,0.675,0.802,0.188,0.586
2026-W15,DST001,SCH003,3,Science,68,0.688,0.719,0.198,0.753
2026-W15,DST001,SCH003,4,ELA,59,0.708,0.737,0.331,0.533
2026-W15,DST001,SCH003,4,Math,73,0.715,0.695,0.268,0.699
2026-W15,DST001,SCH003,4,Science,58,0.693,0.513,0.217,0.527
2026-W15,DST001,SCH003,5,ELA,73,0.79,0.709,0.147,0.698
2026-W15,DST001,SCH003,5,Math,71,0.612,0.6,0.226,0.616
2026-W15,DST001,SCH003,5,Science,57,0.663,0.701,0.185,0.619
2026-W16,DST001,SCH003,3,ELA,39,0.681,0.58,0.124,0.673
2026-W16,DST001,SCH003,3,Math,100,0.631,0.607,0.211,0.655
2026-W16,DST001,SCH003,3,Science,91,0.573,0.747,0.316,0.66
2026-W16,DST001,SCH003,4,ELA,91,0.748,0.625,0.321,0.582
2026-W16,DST001,SCH003,4,Math,56,0.659,0.667,0.214,0.706
2026-W16,DST001,SCH003,4,Science,91,0.684,0.629,0.359,0.563
2026-W16,DST001,SCH003,5,ELA,69,0.675,0.672,0.231,0.784
2026-W16,DST001,SCH003,5,Math,100,0.672,0.845,0.199,0.653
2026-W16,DST001,SCH003,5,Science,92,0.602,0.596,0.225,0.672
2026-W04,DST001,SCH004,3,ELA,51,0.716,0.654,0.281,0.579
2026-W04,DST001,SCH004,3,Math,51,0.704,0.383,0.255,0.648
2026-W04,DST001,SCH004,3,Science,58,0.629,0.535,0.1,0.741
2026-W04,DST001,SCH004,4,ELA,59,0.532,0.516,0.274,0.634
2026-W04,DST001,SCH004,4,Math,61,0.58,0.578,0.253,0.609
2026-W04,DST001,SCH004,4,Science,56,0.639,0.425,0.235,0.632
2026-W04,DST001,SCH004,5,ELA,59,0.533,0.607,0.165,0.754
2026-W04,DST001,SCH004,5,Math,58,0.408,0.605,0.288,0.602
2026-W04,DST001,SCH004,5,Science,46,0.633,0.41,0.255,0.566
2026-W05,DST001,SCH004,3,ELA,40,0.587,0.613,0.248,0.635
2026-W05,DST001,SCH004,3,Math,67,0.636,0.526,0.134,0.607
